product_name,unit_price
Aniseed Syrup,10
Boston Crab Meat,18.4
Camembert Pierrot,34
Chartreuse verte,18
Chef Anton's Cajun Seasoning,22
Chocolade,12.75
Escargots de Bourgogne,13.25
Flotemysost,21.5
Genen Shouyu,13
Gnocchi di nonna Alice,38
Gorgonzola Telino,12.5
Grandma's Boysenberry Spread,25
Gravad lax,26
Gudbrandsdalsost,36
Gula Malacca,19.45
Gumbär Gummibärchen,31.23
Gustaf's Knäckebröd,21
Ikura,31
Inlagd Sill,19
Ipoh Coffee,46
Lakkalikööri,18
Laughing Lumberjack Lager,14
Longlife Tofu,10
Louisiana Fiery Hot Pepper Sauce,21.05
Louisiana Hot Spiced Okra,17
Mascarpone Fabioli,32
Maxilaku,20
Mozzarella di Giovanni,34.8
Nord-Ost Matjeshering,25.89
Northwoods Cranberry Sauce,40
NuNuCa Nuß-Nougat-Creme,14
Original Frankfurter grüne Soße,13
Outback Lager,15
Pâté chinois,24
Pavlova,17.45
Queso Cabrales,21
Queso Manchego La Pastora,38
Ravioli Angelo,19.5
Röd Kaviar,15
Sasquatch Ale,14
Schoggi Schokolade,43.9
Scottish Longbreads,12.5
Sir Rodney's Scones,10
Sirop d'érable,28.5
Spegesild,12
Steeleye Stout,18
Tarte au sucre,49.3
Tofu,23.25
Uncle Bob's Organic Dried Pears,30
Valkoinen suklaa,16.25
Vegie-spread,43.9
Wimmers gute Semmelknödel,33.25
