"supplier_region","category_name","units_in_stock","units_on_order","reorder_level"
America,Beverages,203,0,40
America,Condiments,372,100,70
America,Confections,17,0,0
America,Meat/Poultry,136,0,30
America,Produce,15,0,10
America,Seafood,208,0,40
Asia,Beverages,17,10,25
Asia,Condiments,66,0,20
Asia,Grains/Cereals,26,0,0
Asia,Meat/Poultry,29,0,0
Asia,Produce,39,20,5
Asia,Seafood,55,0,5
Europe,Beverages,324,40,100
Europe,Condiments,45,70,40
Europe,Confections,340,180,155
Europe,Dairy Products,393,140,110
Europe,Grains/Cereals,244,90,130
Europe,Meat/Poultry,0,0,0
Europe,Produce,26,0,0
Europe,Seafood,396,120,100
Oceania,Beverages,15,10,30
Oceania,Condiments,24,0,5
Oceania,Confections,29,0,10
Oceania,Grains/Cereals,38,0,25
Oceania,Meat/Poultry,0,0,0
Oceania,Produce,20,0,10
Oceania,Seafood,42,0,0
